Date,region,product_1,product_2,product_3
2020-12-01,Europe,69014,11192,2798
2020-12-01,Europe,26957,6248,1562
2020-12-01,Europe,30291,6316,1579
2020-12-01,Europe,22071,4116,1029
2020-12-01,Europe,15436,5148,1287
2020-12-01,Europe,47649,11044,2761
2020-12-01,Europe,60463,12628,3157
2020-12-01,Europe,41896,7804,1951
2020-12-01,Europe,40995,5732,1433
2020-12-01,Europe,54410,6560,1640
2020-12-01,Europe,553791,26908,6727
2020-12-01,Europe,146855,30628,7657
2020-12-01,Europe,44675,7232,1808
2020-12-01,Europe,54439,15435,3087
2020-12-01,Europe,7377,2080,416
2020-12-01,Europe,16599,3995,799
2020-12-01,Europe,14930,3840,768
2020-12-01,Europe,16469,4670,934
2020-12-01,Europe,2945,710,142
2020-12-01,Europe,8151,2100,420
2020-12-01,Europe,31877,9020,1804
2020-12-01,Europe,12133,3120,624
2020-12-01,Europe,23966,6795,1359
2020-12-01,Europe,13343,3245,649
2020-12-01,Europe,20986,5950,1190
2020-12-01,Europe,220351,97104,16184
2020-12-01,Europe,20600,5406,901
2020-12-01,Europe,104354,46452,7742
2020-12-01,Europe,264118,95574,15929
2020-12-01,Europe,21132,10110,1685
2020-12-01,Europe,6264,1662,277
2020-12-01,Europe,118042,9354,1559
2020-12-01,Europe,870160,62448,10408
2020-12-01,Europe,844693,48348,8058
2020-12-01,Europe,439510,157944,26324
2020-12-01,Europe,16379,7308,1218
2020-12-01,Europe,2672514,128988,21498
2020-12-01,Europe,21692,1098,183
2020-12-01,Europe,31779,14010,2335
2020-12-01,Europe,61742,22188,3698
2020-12-01,Europe,10599,3132,522
2020-12-01,Europe,7334,3222,537
2020-12-01,Europe,23341,8388,1398
2020-12-01,Europe,28494,13116,2186
2020-12-01,Europe,4636,1230,205
2020-12-01,Europe,40187,14508,2418
2020-12-01,Europe,486940,23502,3917
2020-12-01,Europe,25996,9444,1574
2020-12-01,Europe,197505,90012,7501
2020-12-01,Europe,451430,162228,13519
2020-12-01,Europe,28999,59332,2119
2020-12-01,Europe,309061,633276,22617
2020-12-01,Europe,163064,275716,9847
2020-12-01,Europe,33329,56336,2012
2020-12-01,Europe,10187,17220,615
2020-12-01,Europe,263798,675500,24125
2020-12-01,Europe,80876,175280,6260
2020-12-01,Europe,165879,411180,14685
2020-12-01,Europe,23081,52360,1870
2020-12-01,Europe,60485,154364,5513
2021-01-01,Europe,22509,2198,2198
2021-01-01,Europe,44749,1812,1812
2021-01-01,Europe,7989,678,678
2021-01-01,Europe,362371,6415,6415
2021-01-01,Europe,281452,2637,2637
2021-01-01,Europe,430968,10948,10948
2021-01-01,Europe,11829,2246,2246
2021-01-01,Europe,80068,13946,13946
2021-01-01,Europe,81022,510,510
2021-01-01,Europe,44080,1559,1559
2021-01-01,Europe,69254,5683,5683
2021-01-01,Europe,57503,6097,6097
2021-01-01,Europe,73688,24390,24390
2021-01-01,Europe,449780,104369,104369
2021-01-01,Europe,596896,30003,30003
2021-01-01,Europe,266750,74042,74042
2021-01-01,Europe,458547,74391,74391
2021-01-01,Europe,362347,50741,50741
2021-01-01,Europe,434530,52510,52510
2021-01-01,Europe,740486,62720,62720
2021-01-01,Europe,713736,22853,22853
2021-01-01,Europe,468834,13018,13018
2021-01-01,Europe,171880,6992,6992
2021-01-01,Europe,112290,10222,10222
2021-01-01,Europe,85208,7146,7146
2021-01-01,Europe,123917,12926,12926
2021-01-01,Europe,204697,12326,12326
2021-01-01,Europe,25115,1262,1262
2021-01-01,Europe,99033,3173,3173
2021-01-01,Europe,235652,24919,24919
2021-01-01,Europe,75421,6340,6340
2021-01-01,Europe,70760,5474,5474
2021-01-01,Europe,45381,1850,1850
2021-01-01,Europe,4395,1458,1458
2021-01-01,Europe,790,221,221
2021-01-01,Europe,256628,59480,59480
2021-01-01,Europe,133614,27868,27868
2021-01-01,Europe,30145,5621,5621
2021-01-01,Europe,190784,30829,30829
2021-01-01,Europe,68571,9590,9590
2021-01-01,Europe,33354,1351,1351
2021-01-01,Europe,50780,1627,1627
2021-01-01,Europe,177215,8912,8912
2021-01-01,Europe,99533,3189,3189
2021-01-01,Europe,49956,2892,2892
2021-01-01,Europe,1317912,1068,1068
2021-01-01,Europe,485416,4539,4539
2021-01-01,Europe,194109,4931,4931
2021-01-01,Europe,2071886,20504,20504
2021-01-01,Europe,70029,942,942
2021-01-01,Europe,471434,4562,4562
2021-01-01,Europe,201965,19050,19050
2021-01-01,Europe,45862,9772,9772
2021-01-01,Europe,64085,10472,10472
2021-01-01,Europe,216039,19514,19514
2021-01-01,Europe,18088,3854,3854
2021-01-01,Europe,30146,4763,4763
2021-01-01,Europe,27916,2397,2397
2021-01-01,Europe,255138,1716,1716
2021-01-01,Europe,560616,12076,12076
2021-01-01,Europe,308767,6651,6651
2021-01-01,Europe,33477,717,717
2021-01-01,Europe,326719,2162,2162
2021-01-01,Europe,384174,8276,8276
2021-01-01,Europe,21097,5147,5147
2021-01-01,Europe,3402,875,875
2021-01-01,Europe,4829,1369,1369
2021-01-01,Europe,8740,2478,2478
2021-01-01,Europe,3578,861,861
2021-01-01,Europe,9083,208,208
2021-01-01,Europe,71478,2528,2528
2021-01-01,Europe,135806,3442,3442
2021-01-01,Europe,291952,10506,10506
2021-01-01,Europe,19612,1149,1149
2021-01-01,Europe,1462915,91169,91169
2021-01-01,Europe,83020,7283,7283
2021-01-01,Europe,1145176,82504,82504
2021-01-01,Europe,184308,8895,8895
2021-01-01,Europe,321908,1834,1834
2021-01-01,Europe,75360,4398,4398
2021-01-01,Europe,196248,8180,8180
2021-01-01,Europe,496979,5312,5312
2021-01-01,Europe,182468,7232,7232
2021-01-01,Europe,483123,5359,5359
2021-01-01,Europe,82999,3436,3436
2021-01-01,Europe,187876,2184,2184
2021-01-01,Europe,642746,7235,7235
2021-01-01,Europe,432530,4918,4918
2021-01-01,Europe,772172,37633,37633
2021-01-01,Europe,65267,3171,3171
2021-01-01,Europe,1255230,61125,61125
2021-01-01,Europe,23668,1895,1895
2021-01-01,Europe,58583,1877,1877
2021-01-01,Europe,20079,813,813
2021-01-01,Europe,62307,1729,1729
2021-01-01,Europe,64641,2070,2070
2021-01-01,Europe,29298,1473,1473
2021-01-01,Europe,12953,1096,1096
2021-01-01,Europe,18059,1883,1883
2021-01-01,Europe,52720,2649,2649
2021-01-01,Europe,76744,2457,2457
2021-01-01,Europe,789577,646,646
2021-01-01,Europe,20942,2535,2535
2021-01-01,Europe,5042,633,633
2021-01-01,Europe,12859,2740,2740
2021-01-01,Europe,16529,2641,2641
2021-01-01,Europe,42243,4177,4177
2021-01-01,Europe,6718,563,563
2021-01-01,Europe,8739,1428,1428
2021-01-01,Europe,32671,2445,2445
2021-01-01,Europe,35124,2325,2325
2021-01-01,Europe,521158,11226,11226
2021-01-01,Europe,91012,2140,2140
2021-01-01,Europe,49283,1743,1743
2021-01-01,Europe,44425,1133,1133
2021-01-01,Europe,351391,1444,1444
2021-01-01,Europe,46936,1660,1660
2021-01-01,Europe,38515,893,893
2021-01-01,Europe,269262,23490,23490
2021-01-01,Europe,227781,19967,19967
2021-01-01,Europe,279827,14189,14189
2021-01-01,Europe,280888,13557,13557
2021-01-01,Europe,65618,2658,2658
2021-01-01,Europe,187155,2076,2076
2021-01-01,Europe,168646,6812,6812
2021-01-01,Europe,40186,1608,1608
2021-01-01,Europe,90564,3665,3665
2021-01-01,Europe,50221,2095,2095
2021-01-01,Europe,27168,1118,1118
2021-01-01,Europe,34618,384,384
2021-01-01,Europe,438362,15887,15887
2021-01-01,Europe,135087,6582,6582
2021-01-01,Europe,356031,17347,17347
2021-01-01,Europe,14260,695,695
2021-01-01,Europe,13962,2912,2912
2021-01-01,Europe,4157,1378,1378
2021-01-01,Europe,18919,5243,5243
2021-01-01,Europe,48058,8295,8295
2021-01-01,Europe,40038,6486,6486
2021-01-01,Europe,30546,4274,4274
2021-01-01,Europe,38767,7982,7982
2021-01-01,Europe,62096,9973,9973
2021-01-01,Europe,49469,6870,6870
2021-01-01,Europe,49450,5947,5947
2021-01-01,Europe,51372,14237,14237
2021-01-01,Europe,31628,6597,6597
2021-01-01,Europe,8901,1665,1665
2021-01-01,Europe,15504,2520,2520
2021-01-01,Europe,6011,841,841
2021-01-01,Europe,17837,5889,5889
2021-01-01,Europe,154777,4310,4310
2021-01-01,Europe,25672,822,822
2021-01-01,Europe,20599,660,660
2021-01-01,Europe,20447,1730,1730
2021-01-01,Europe,3194,386,386
2021-01-01,Europe,14691,2055,2055
2021-01-01,Europe,19468,3146,3146
2021-01-01,Europe,14495,4025,4025
2021-01-01,Europe,6818,2251,2251
2021-01-01,Europe,626,53,53
2021-01-01,Europe,3821,192,192
2021-01-01,Europe,37725,1208,1208
2021-01-01,Europe,26432,5513,5513
2021-01-01,Europe,32295,5231,5231
2021-01-01,Europe,36828,4444,4444
2021-01-01,Europe,23364,6475,6475
2021-01-01,Europe,34877,6435,6435
2021-01-01,Europe,194038,1818,1818
2021-01-01,Europe,6077,993,993
2021-01-01,Europe,101344,2183,2183
2021-01-01,Europe,21123,455,455
2021-01-01,Europe,69783,1503,1503
2021-01-01,Europe,105804,2278,2278
2021-01-01,Europe,48009,1698,1698
2021-01-01,Europe,94333,3428,3428
2021-01-01,Europe,102418,3452,3452
2021-01-01,Europe,206027,18156,18156
2021-01-01,Europe,95816,8415,8415
2021-01-01,Europe,214309,18843,18843
2021-01-01,Europe,378480,33617,33617
2021-01-01,Europe,66865,5949,5949
2021-01-01,Europe,334799,29411,29411
2021-01-01,Europe,35682,1793,1793
2021-01-01,Europe,113236,4353,4353
2021-01-01,Europe,39494,1640,1640
2021-01-01,Europe,141475,5875,5875
2021-01-01,Europe,266261,3212,3212
2021-01-01,Europe,62898,2534,2534
2021-01-01,Europe,162875,7829,7829
2021-01-01,Europe,9550,463,463
2021-01-01,Europe,11327,552,552
2021-01-01,Europe,3061698,16796,16796
2021-01-01,Europe,104332,5082,5082
2021-01-01,Europe,33128,2888,1444
2021-01-01,Europe,891562,49126,24563
2021-01-01,Europe,235991,17600,8800
2021-01-01,Europe,735907,60436,30218
2021-01-01,Europe,124861,10226,5113
2021-01-01,Europe,626296,51462,25731
2021-01-01,Europe,364029,26930,13465
2021-01-01,Europe,4021040,330466,165233
2021-01-01,Europe,679006,32772,16386
2021-01-01,Europe,1007866,48650,24325
2021-01-01,Europe,1234098,60316,30158
2021-01-01,Europe,122536,8790,4395
2021-01-01,Europe,494945,40286,20143
2021-01-01,Europe,8761,720,360
2021-01-01,Europe,1172991,56614,28307
2021-01-01,Europe,32405,1564,782
2021-01-01,Europe,406571,25264,12632
2021-01-01,Europe,12532,696,348
2021-01-01,Europe,21105,1208,604
2021-01-01,Europe,329843,15930,7965
2021-01-01,Europe,668985,32604,10868
2021-01-01,Europe,67902,22428,5607
2021-01-01,Europe,216626,60036,15009
2021-01-01,Europe,165056,38256,9564
2021-01-01,Europe,267940,55868,13967
2021-01-01,Europe,106153,12832,3208
2021-01-01,Europe,145600,40352,10088
2021-01-01,Europe,79680,18468,4617
2021-01-01,Europe,67145,14072,3518
2021-01-01,Europe,32863,6128,1532
2021-01-01,Europe,23507,3808,952
2021-01-01,Europe,18184,2196,549
2021-01-01,Europe,25604,3580,895
2021-01-01,Europe,194165,44948,11237
2021-01-01,Europe,270851,56428,14107
2021-01-01,Europe,205053,33124,8281
2021-01-01,Europe,105019,14684,3671
2021-01-01,Europe,70598,28248,7062
2021-01-01,Europe,225918,19116,4779
2021-01-01,Europe,380073,79252,19813
2021-01-01,Europe,324289,39160,9790
2021-01-01,Europe,218940,18536,4634
2021-01-01,Europe,30266,700,175
2021-01-01,Europe,63561,2248,562
2021-01-01,Europe,251807,5784,1446
2021-01-01,Europe,218960,7744,1936
2021-01-01,Europe,14522,4804,1201
2021-01-01,Europe,130428,11036,2759
2021-01-01,Europe,62523,7548,1887
2021-01-01,Europe,53325,7456,1864
2021-01-01,Europe,40067,11104,2776
2021-01-01,Europe,74598,6312,1578
2021-01-01,Europe,49920,6980,1745
2021-01-01,Europe,109923,22920,5730
2021-01-01,Europe,66340,15376,3844
2021-01-01,Europe,33958,11260,2815
2021-01-01,Europe,20119,4632,1158
2021-01-01,Europe,33414,6996,1749
2021-01-01,Europe,34306,6432,1608
2021-01-01,Europe,33446,4692,1173
2021-01-01,Europe,129013,15592,3898
2021-01-01,Europe,46890,10868,2717
2021-01-01,Europe,58990,12300,3075
2021-01-01,Europe,45992,8576,2144
2021-01-01,Europe,93526,15108,3777
2021-01-01,Europe,46417,12864,3216
2021-01-01,Europe,41298,9572,2393
2021-01-01,Europe,48736,10168,2542
2021-01-01,Europe,34734,6464,1616
2021-01-01,Europe,35760,5000,1250
2021-01-01,Europe,46463,5600,1400
2021-01-01,Europe,424673,20648,5162
2021-01-01,Europe,41959,13996,3499
2021-01-01,Europe,69249,19192,4798
2021-01-01,Europe,157152,36424,9106
2021-01-01,Europe,185430,38664,9666
2021-01-01,Europe,184590,34420,8605
2021-01-01,Europe,37380,6048,1512
2021-01-01,Europe,19422,2724,681
2021-01-01,Europe,19317,2332,583
2021-01-01,Europe,22594,5810,1162
2021-01-01,Europe,56538,16030,3206
2021-01-01,Europe,5244,1485,297
2021-01-01,Europe,32655,7965,1593
2021-01-01,Europe,14667,3530,706
2021-01-01,Europe,17400,4475,895
2021-01-01,Europe,14599,4140,828
2021-01-01,Europe,7186,1855,371
2021-01-01,Europe,27989,7935,1587
2021-01-01,Europe,28479,6925,1385
2021-01-01,Europe,20650,5855,1171
2021-01-01,Europe,33576,9520,1904
2021-01-01,Europe,291844,127470,21245
2021-01-01,Europe,16869,4416,736
2021-01-01,Europe,89979,39522,6587
2021-01-01,Europe,238656,85782,14297
2021-01-01,Europe,14461,6894,1149
2021-01-01,Europe,4975,1320,220
2021-01-01,Europe,901254,65004,10834
2021-01-01,Europe,651605,38412,6402
2021-01-01,Europe,479713,172392,28732
2021-01-01,Europe,18257,7974,1329
2021-01-01,Europe,52275,18786,3131
2021-01-01,Europe,16237,4308,718
2021-01-01,Europe,25305,11052,1842
2021-01-01,Europe,15424,4248,708
2021-01-01,Europe,6544,2862,477
2021-01-01,Europe,42460,18978,3163
2021-01-01,Europe,9430,2502,417
2021-01-01,Europe,53595,19260,3210
2021-01-01,Europe,118223,5706,951
2021-01-01,Europe,612871,29580,4930
2021-01-01,Europe,19800,7116,1186
2021-01-01,Europe,225892,100356,8363
2021-01-01,Europe,539452,193860,16155
2021-01-01,Europe,98096,26028,2169
2021-01-01,Europe,68855,169428,6051
2021-01-01,Europe,26563,54348,1941
2021-01-01,Europe,3515,7364,263
2021-01-01,Europe,773505,1868972,66749
2021-01-01,Europe,289259,592760,21170
2021-01-01,Europe,151999,257012,9179
2021-01-01,Europe,30165,50988,1821
2021-01-01,Europe,72643,174804,6243
2021-01-01,Europe,22441,50064,1788
2021-01-01,Europe,8349,14112,504
2021-01-01,Europe,227511,578144,20648
2021-01-01,Europe,20860,34972,1249
2021-01-01,Europe,143812,354788,12671
2021-01-01,Europe,65619,158312,5654
2021-01-01,Europe,21037,47404,1693
2021-01-01,Europe,242678,583968,6952
2021-02-01,Europe,21603,2090,2090
2021-02-01,Europe,16297,1379,1379
2021-02-01,Europe,10600,899,899
2021-02-01,Europe,327625,5547,5547
2021-02-01,Europe,290702,2971,2971
2021-02-01,Europe,390973,9932,9932
2021-02-01,Europe,111936,1182,1182
2021-02-01,Europe,10362,1996,1996
2021-02-01,Europe,77128,13446,13446
2021-02-01,Europe,59234,485,485
2021-02-01,Europe,30197,1068,1068
2021-02-01,Europe,59976,4932,4932
2021-02-01,Europe,62788,7344,7344
2021-02-01,Europe,76894,25412,25412
2021-02-01,Europe,645212,32420,32420
2021-02-01,Europe,263035,72913,72913
2021-02-01,Europe,374710,60772,60772
2021-02-01,Europe,392848,54943,54943
